1,Elin,Hildebrand
2,Brit,Bennett
3,John,Bolton
4,Robin,DiAngelo
5,Delia,Owens
6,John,Grisham
7,Ibram X.,Kendi
8,Celeste,Ng
9,Ijeoma,Oluo
10,Harper,Lee
11,L.M.,Montgomery
12,Jack,London
13,Jane,Austen
14,F. Scott,Fitzgerald
15,Emily,Bronte
16,Oscar,Wilde
17,George,Orwell
18,J.D.,Salinger
19,Shel,Silverstein
20,Maurice,Sendak
21,Dr.,Suess
22,Beatrix,Potter
23,C.S.,Lewis
24,E.B.,White
25,Eric,Carle
26,Michael,Ende
27,Howard,Zinn
28,Norton,Juster
29,Kurt,Vonnegut
30,Chinua,Achebe
31,Kazuo,Ishiguro
32,Art,Spiegelman
33,Margaret,Atwood
34,Douglas,Adams
35,David Foster,Wallace
36,Philip D.,Morgan
37,Hortense,Spillers
38,Stephen,Best
39,Anthony B.,Pinn
40,Harvey,Young
41,Michael A.,Gomez
42,Sarah,Haley
43,Daryl Michael,Scott
44,Cheryl,Harris
45,Frank,Herbert
46,Andrzej,Sapkowski
47,J.R.R.,Tolkein
48,J.K.,Rowling
49,Stephenie,Meyer
50,George R. R.,Martin
51,Diana,Gabaldon
52,Robert,Jordan
53,Cixin,Liu
